,bestScore,scores,aiMean,aiRange
0,-1.2172860402195995,"[-1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995, -1.2172860402195995]",80.0,0.0
1,-2.3984292200524084,"[-0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.50301515713355738, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.73487158260022067, -0.81217694947512764, -0.81217694947512764, -0.81217694947512764, -0.81217694947512764, -0.81217694947512764, -0.81217694947512764, -0.81217694947512764, -1.4100368076406122, -1.5219079463027045, -1.6575441821461037, -1.9622650742211067, -1.9622650742211067, -2.1175223576578217, -2.1175223576578217, -2.1175223576578217, -2.1175223576578217, -2.1175223576578217, -2.1175223576578217, -2.1318324008677902, -2.1318324008677902, -2.1318324008677902, -2.3261918642551165, -2.3261918642551165, -2.3261918642551165, -2.3261918642551165, -2.3261918642551165, -2.3261918642551165, -2.3480700822764833, -2.3560192391340249, -2.3637384129565278, -2.3637384129565278, -2.3637384129565278, -2.3637384129565278, -2.3637384129565278, -2.3637384129565278, -2.3637384129565278, -2.3639023924336713, -2.3639023924336713, -2.367236895590596, -2.367236895590596, -2.367236895590596, -2.367236895590596, -2.367236895590596, -2.367236895590596, -2.367236895590596, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3798061534540316, -2.3881275827184094, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3893404003014034, -2.3906359469006095, -2.3925756765295985, -2.3928678221785558, -2.3928678221785558, -2.3928678221785558, -2.3928678221785558, -2.3928678221785558, -2.3984292200524084, -2.3984292200524084]",80.0,30.0
2,-2.7472005865400884,"[-1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.0464087497022279, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.5033164087323634, -1.8111349527045686, -1.8355343180936239, -1.8355343180936239, -1.8355343180936239, -1.8355343180936239, -1.8355343180936239, -1.8355343180936239, -2.53010516718768, -2.53010516718768, -2.5512979018768256, -2.5574236508179631, -2.5574236508179631, -2.5606563903255473, -2.5606563903255473, -2.5606563903255473, -2.5740924111660113, -2.5740924111660113, -2.5743723690346925, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.635809006996336, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6564117379571233, -2.6623719553267144, -2.6623719553267144, -2.6623719553267144, -2.743805124956884, -2.743805124956884, -2.743805124956884, -2.743805124956884, -2.743805124956884, -2.743805124956884, -2.7457239737363923, -2.7457239737363923, -2.7459938792558445, -2.7463120436644917, -2.7463120436644917, -2.7463120436644917, -2.7463120436644917, -2.7463120436644917, -2.7463120436644917, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884, -2.7472005865400884]",100.0,0.0
3,-2.3769146062138193,"[-1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.2263395971018463, -1.3293976606197984, -1.3293976606197984, -1.3293976606197984, -1.3306147927778604, -1.3306147927778604, -1.3306147927778604, -1.3306147927778604, -1.3306147927778604, -1.3306147927778604, -1.3467765192469165, -1.3467765192469165, -1.3467765192469165, -1.3467765192469165, -1.347316727039199, -1.3475379565722743, -1.3475379565722743, -1.3475940309257119, -1.3475940309257119, -1.6749802853164677, -1.6749802853164677, -1.7534472872895457, -1.7534472872895457, -1.7534472872895457, -1.7534472872895457, -1.8458410560828635, -1.8458410560828635, -1.8458410560828635, -1.8492624595151979, -1.8492624595151979, -1.8492624595151979, -1.8492624595151979, -2.0526381054154026, -2.0526381054154026, -2.0603604041674393, -2.0603604041674393, -2.0603604041674393, -2.0633085346082218, -2.0633209924202593, -2.0633209924202593, -2.0633280614131961, -2.0633280614131961, -2.0633280614131961, -2.0634234906139999, -2.0634234906139999, -2.0634234906139999, -2.0634366197756955, -2.0634366197756955, -2.3768409179794809, -2.3768409179794809, -2.3768409179794809, -2.3768409179794809, -2.3768409179794809, -2.3768409179794809, -2.3768409179794809, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.376877207604243, -2.3768846384680176, -2.3768846384680176, -2.3768846384680176, -2.3769067420887353, -2.3769067420887353, -2.3769067420887353, -2.3769067420887353, -2.3769067420887353, -2.3769067420887353, -2.3769141983851725, -2.3769141983851725, -2.3769141983851725, -2.3769141983851725, -2.3769141983851725, -2.3769141983851725, -2.3769146062138193, -2.3769146062138193, -2.3769146062138193]",100.0,30.0
4,-2.4357472014795594,"[-0.39980725412719276, -0.40053428358023613, -0.40053428358023613, -0.40053428358023613, -0.49821679425935883, -0.49821679425935883, -0.49821679425935883, -0.49821679425935883, -0.49821679425935883, -0.49821679425935883, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.75266001798230087, -0.78473438025470188, -0.78473438025470188, -1.1665777573728782, -1.1665777573728782, -1.209206102024899, -1.209206102024899, -1.209206102024899, -1.209206102024899, -1.209206102024899, -1.2194877817522376, -1.2194877817522376, -1.2194877817522376, -1.2221086897255451, -1.2221086897255451, -1.2221086897255451, -1.2221086897255451, -1.2221086897255451, -1.2301953632186222, -1.245890747397997, -1.245890747397997, -1.4580885625330968, -1.4580885625330968, -1.6574961071863856, -1.6574961071863856, -1.6913371929722565, -1.7302934813068325, -1.7302934813068325, -1.7612134829617012, -1.7612134829617012, -1.7612134829617012, -2.0536773066320784, -2.0536773066320784, -2.0536773066320784, -2.0536773066320784, -2.0536773066320784, -2.0536773066320784, -2.1806034317280898, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2501617560356046, -2.2801623223775587, -2.2801623223775587, -2.2801623223775587, -2.2801623223775587, -2.2801623223775587, -2.2801623223775587, -2.3767648374467791, -2.3767648374467791, -2.3767648374467791, -2.3792092079762606, -2.3792092079762606, -2.3792984449377164, -2.3792984449377164, -2.3798620628881726, -2.3798620628881726, -2.3798620628881726, -2.3798620628881726, -2.3798620628881726, -2.3868472577198769, -2.3868472577198769, -2.3868472577198769, -2.3868472577198769, -2.3878787333583902, -2.3878787333583902, -2.3878787333583902, -2.3904627579464064, -2.4357472014795594]",120.0,0.0
5,-2.8276472222142015,"[-0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.83042047635538152, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -0.93908518697229848, -1.5125610212096761, -1.5125610212096761, -1.5125610212096761, -1.5125610212096761, -1.7667077875312962, -1.7667077875312962, -2.0697803917667099, -2.0697803917667099, -2.0697803917667099, -2.0938793315997737, -2.1460658334094047, -2.2690282382373206, -2.2690282382373206, -2.2690282382373206, -2.2690282382373206, -2.2690282382373206, -2.2690282382373206, -2.2690282382373206, -2.2892008215859532, -2.2892008215859532, -2.2902720151304425, -2.2916726200179465, -2.2916726200179465, -2.2916726200179465, -2.2916726200179465, -2.5631620555516834, -2.5631620555516834, -2.5679208169178027, -2.5680861357763858, -2.5700158815069085, -2.5700158815069085, -2.5700158815069085, -2.5700158815069085, -2.6516858509599475, -2.6516858509599475, -2.6516858509599475, -2.6558355671047904, -2.6558355671047904, -2.7302816055468608, -2.7302816055468608, -2.7302816055468608, -2.7302816055468608, -2.7302816055468608, -2.7302816055468608, -2.7302816055468608, -2.7346382016772592, -2.7346382016772592, -2.7346382016772592, -2.7346382016772592, -2.7348432016011852, -2.7348432016011852, -2.7348432016011852, -2.7348432016011852, -2.7348432016011852, -2.7373269308981443, -2.7373269308981443, -2.7373269308981443, -2.8276472222142015, -2.8276472222142015, -2.8276472222142015, -2.8276472222142015, -2.8276472222142015, -2.8276472222142015]",120.0,30.0
6,-1.0570803616660636,"[-1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636, -1.0570803616660636]",80.0,0.0
7,-1.0355166195482552,"[-0.97992516992974288, -0.97992516992974288, -0.97992516992974288, -0.98797667282799961, -0.98848039324378267, -1.010072974035688, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552, -1.0355166195482552]",80.0,30.0
8,-1.2869013425781044,"[-1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.1414150252323458, -1.2804148153375323, -1.2804148153375323, -1.2869013425781044, -1.2869013425781044, -1.2869013425781044, -1.2869013425781044, -1.2869013425781044, -1.2869013425781044, -1.2869013425781044]",100.0,0.0
9,-2.5979972697813,"[-0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -0.91183858794518258, -1.5447785603297253, -1.5447785603297253, -1.7096311887122708, -1.7096311887122708, -1.7096311887122708, -1.7096311887122708, -1.7096311887122708, -1.7096311887122708, -1.7096311887122708, -1.7382762871783264, -1.7382762871783264, -1.8219966128698444, -1.8219966128698444, -1.8219966128698444, -1.8219966128698444, -1.8219966128698444, -1.8219966128698444, -1.8219966128698444, -1.8489889063660452, -1.8489889063660452, -1.8489889063660452, -1.8490801131056016, -1.8490970096721675, -1.8490970096721675, -1.8490970096721675, -1.8491345091311207, -1.8491345091311207, -1.8491345091311207, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4484041372738474, -2.4525744000228427, -2.4525744000228427, -2.4528924919402071, -2.4528924919402071, -2.4528924919402071, -2.4528924919402071, -2.4528924919402071, -2.4528924919402071, -2.4528924919402071, -2.4586042949031559, -2.4586042949031559, -2.4586042949031559, -2.5403759351484378, -2.5403759351484378, -2.5403759351484378, -2.5403759351484378, -2.5403759351484378, -2.5403759351484378, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5948791195821519, -2.5977739678826284, -2.5977739678826284, -2.5979972697812999, -2.5979972697812999, -2.5979972697812999, -2.5979972697812999, -2.5979972697812999, -2.5979972697812999, -2.5979972697812999]",100.0,30.0
