,bestScore,scores,aiMean,aiRange
0,-0.10726799638865867,"[-0.060192823332982717, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867, -0.10726799638865867]",80.0,0.0
1,-0.9191120523202351,"[-0.8778720458042184, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507, -0.91911205232023507]",80.0,30.0
2,-0.7914687509235835,"[-0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79053186472165227, -0.79146875092358349, -0.79146875092358349]",100.0,0.0
3,-1.1424718723283815,"[-1.1319962298311967, -1.1319993373490118, -1.1319993373490118, -1.1343284049359836, -1.1373635886314506, -1.1424718723283815, -1.1424718723283815, -1.1424718723283815, -1.1424718723283815, -1.1424718723283815]",100.0,30.0
4,-0.758181755143422,"[-0.72313530527793968, -0.72313530527793968, -0.74751487057656629, -0.74751487057656629, -0.7500859416531489, -0.7500859416531489, -0.7500859416531489, -0.75818175514342201, -0.75818175514342201, -0.75818175514342201]",120.0,0.0
5,-0.6769376582577606,"[-0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064, -0.67693765825776064]",120.0,30.0
