,bestScore,scores,aiMean,aiRange
0,-0.3127032322252391,"[-0.2724105259432981, -0.3127032322252391, -0.3127032322252391]",80.0,0.0
1,-1.0260632980780209,"[-1.0242362116093275, -1.0260632980780209, -1.0260632980780209]",80.0,30.0
2,-1.587281800748499,"[-1.5507402299238464, -1.587281800748499, -1.587281800748499]",100.0,0.0
3,-1.4063242441998416,"[-1.4063242441998416, -1.4063242441998416, -1.4063242441998416]",100.0,30.0
4,-1.6500365080818482,"[-1.6500365080818482, -1.6500365080818482, -1.6500365080818482]",120.0,0.0
5,-0.4234918775720971,"[-0.42159723069454513, -0.4234918775720971, -0.4234918775720971]",120.0,30.0
6,-1.4503754400677802,"[-1.4257225511644533, -1.4257225511644533, -1.4503754400677802]",80.0,0.0
7,-0.833350736961447,"[-0.833345196537981, -0.833345196537981, -0.833350736961447]",80.0,30.0
8,-0.3673366556067421,"[-0.3673366556067421, -0.3673366556067421, -0.3673366556067421]",100.0,0.0
9,-0.18845865781117993,"[-0.18845865781117993, -0.18845865781117993, -0.18845865781117993]",100.0,30.0
10,-0.6173261076316114,"[-0.2557127136903744, -0.6173261076316114, -0.6173261076316114]",120.0,0.0
11,-0.903229475186455,"[-0.903229475186455, -0.903229475186455, -0.903229475186455]",120.0,30.0
